Time,Bus21,Bus22,Bus23,Bus24,Bus25,Bus26,Bus27,Bus28,Bus29,Bus30,Bus31,Bus32,Bus33,Bus34,Bus35,Bus36,Bus37,Bus38,Bus39
0.111667,0.200847,0.353966,0.353635,0.099618,0.661468,0.519837,0.385137,0.625445,0.662454,0.808331,0.648777,0.635831,0.453595,0.551675,0.504966,0.561096,0.718647,0.73029,0.964288
0.121667,0.200375,0.353263,0.353218,0.099164,0.661205,0.520003,0.385327,0.625851,0.662806,0.807509,0.649348,0.635539,0.453231,0.550816,0.503605,0.560722,0.717254,0.730442,0.96371
0.131667,0.199839,0.352559,0.352769,0.098645,0.660745,0.519869,0.385245,0.625902,0.662817,0.806642,0.649582,0.634938,0.452887,0.550151,0.502356,0.560374,0.715794,0.730336,0.963133
0.141667,0.199235,0.351838,0.352279,0.098054,0.660076,0.519432,0.384893,0.625595,0.662484,0.805711,0.649479,0.634022,0.452548,0.549638,0.501187,0.56004,0.71424,0.729961,0.962543
0.151667,0.198558,0.351092,0.351742,0.097389,0.659189,0.518692,0.384274,0.624934,0.661808,0.804701,0.649042,0.632791,0.452205,0.54925,0.500078,0.559711,0.712574,0.729313,0.961928
0.161667,0.197806,0.350313,0.351155,0.096646,0.658078,0.51765,0.38339,0.623922,0.660791,0.803599,0.648277,0.631248,0.451848,0.548963,0.499009,0.559381,0.710782,0.72839,0.961278
0.171667,0.196977,0.349495,0.350515,0.095822,0.656739,0.516307,0.382244,0.622561,0.659436,0.802397,0.647191,0.629396,0.451473,0.548759,0.497969,0.559045,0.708851,0.727191,0.960585
0.18,0.196199,0.348736,0.349895,0.095058,0.655428,0.514935,0.381072,0.621135,0.658023,0.801302,0.646023,0.627599,0.451102,0.548594,0.497053,0.558696,0.707119,0.725957,0.959947
0.185,0.854409,0.855745,0.851789,0.860051,0.950487,0.946069,0.916228,0.97079,0.97622,0.960148,0.882407,0.886936,0.793137,0.82747,0.847131,0.85758,0.910067,0.963597,0.989435
0.191667,0.880945,0.882456,0.880749,0.887001,0.965342,0.963275,0.936157,0.984968,0.989521,0.970509,0.899117,0.901265,0.831434,0.851633,0.869744,0.892386,0.924363,0.974901,0.992018
0.201667,0.909254,0.912085,0.912653,0.915303,0.981306,0.981105,0.956615,0.99973,1.003494,0.982178,0.917402,0.916884,0.873276,0.879961,0.896486,0.932713,0.940719,0.987161,0.994989
0.211667,0.923228,0.927925,0.929422,0.928991,0.989804,0.989523,0.966016,1.00666,1.010211,0.989163,0.927457,0.925228,0.895789,0.897968,0.912703,0.955667,0.950839,0.993605,0.996839
0.221667,0.927867,0.934482,0.9362,0.93339,0.993329,0.991798,0.968325,1.008328,1.011994,0.992928,0.931923,0.928511,0.906949,0.908893,0.921234,0.967099,0.956602,0.995968,0.99784
0.231667,0.926225,0.934665,0.936248,0.931636,0.993397,0.989878,0.965874,1.006315,1.010288,0.994397,0.932483,0.928174,0.911137,0.914774,0.924159,0.970947,0.959219,0.995364,0.998175
0.241667,0.920169,0.930315,0.931582,0.925588,0.990955,0.98496,0.960065,1.001619,1.006017,0.994166,0.93022,0.925174,0.910618,0.916904,0.92294,0.969614,0.959495,0.992535,0.997977
0.251667,0.910959,0.922696,0.923555,0.916481,0.986663,0.977865,0.95185,0.994942,0.999839,0.992659,0.925882,0.920196,0.906797,0.916194,0.918644,0.964664,0.958003,0.98802,0.997345
0.261667,0.899433,0.912663,0.913058,0.905125,0.980973,0.969153,0.941863,0.986777,0.992219,0.99017,0.919984,0.913726,0.900497,0.913283,0.912035,0.957074,0.955148,0.982212,0.996358
0.271667,0.886241,0.900874,0.900776,0.892146,0.974237,0.959259,0.9306,0.977513,0.983526,0.986933,0.912918,0.906141,0.89236,0.908678,0.903708,0.947583,0.951245,0.975426,0.995082
0.281667,0.871866,0.887822,0.887215,0.878007,0.966725,0.948515,0.918432,0.967451,0.974049,0.983126,0.90498,0.897733,0.882837,0.902767,0.89412,0.936714,0.946539,0.967913,0.993573
0.291667,0.856684,0.873892,0.872767,0.86307,0.958644,0.937181,0.90565,0.95683,0.964017,0.978889,0.896397,0.888727,0.87228,0.89586,0.883629,0.924868,0.941217,0.959874,0.991877
0.301667,0.841045,0.859429,0.857787,0.847676,0.950203,0.925512,0.892536,0.945886,0.953658,0.974358,0.887388,0.879348,0.861002,0.888225,0.872543,0.912389,0.93546,0.951504,0.990044
0.311667,0.825082,0.8446,0.842445,0.831938,0.941425,0.913554,0.879148,0.93467,0.943023,0.969558,0.87799,0.86962,0.849202,0.880053,0.861046,0.899494,0.929317,0.942866,0.988068
0.321667,0.809135,0.82972,0.827065,0.816199,0.932545,0.901587,0.86579,0.923437,0.932357,0.964635,0.86844,0.859797,0.837149,0.871554,0.849396,0.88646,0.922972,0.93416,0.986015
0.331667,0.79336,0.814957,0.81182,0.800605,0.923624,0.889698,0.852561,0.912274,0.921746,0.95963,0.858809,0.849946,0.825025,0.86289,0.837755,0.873476,0.916493,0.925468,0.983893
0.341667,0.778016,0.800572,0.796973,0.785391,0.91477,0.878039,0.839631,0.901332,0.911337,0.95461,0.849211,0.84019,0.813059,0.854254,0.826351,0.860787,0.909977,0.916921,0.981721
0.351667,0.763319,0.786792,0.782761,0.770757,0.906073,0.866737,0.827141,0.890739,0.901256,0.949629,0.839742,0.830633,0.801463,0.845832,0.815388,0.848619,0.90351,0.908631,0.979511
0.361667,0.749487,0.773835,0.76941,0.756918,0.89764,0.855941,0.815257,0.880642,0.891646,0.94475,0.830543,0.821421,0.790449,0.837813,0.805051,0.837175,0.897188,0.900722,0.977277
0.371667,0.736674,0.761852,0.757075,0.744028,0.889554,0.845761,0.8041,0.871148,0.882611,0.940026,0.821725,0.812663,0.780172,0.830329,0.795471,0.826598,0.891085,0.893284,0.975028
0.381667,0.724952,0.750918,0.745833,0.732162,0.881857,0.83625,0.793726,0.86231,0.874205,0.935482,0.81333,0.804403,0.770725,0.823456,0.786717,0.81697,0.885246,0.88637,0.972772
0.391667,0.714368,0.741085,0.735735,0.721372,0.874581,0.827452,0.784184,0.854176,0.866476,0.93114,0.805393,0.79667,0.762173,0.817253,0.778836,0.808343,0.879706,0.880021,0.970512
0.401667,0.704918,0.732349,0.72678,0.711657,0.86773,0.819368,0.775469,0.846748,0.859426,0.927006,0.79792,0.789466,0.754536,0.811739,0.771831,0.80072,0.874478,0.874245,0.968253
0.411667,0.696568,0.724682,0.718936,0.702991,0.861299,0.811979,0.767558,0.840008,0.853041,0.92308,0.790905,0.782778,0.747804,0.806912,0.765684,0.794081,0.869563,0.869032,0.965997
0.421667,0.689267,0.718034,0.712152,0.69533,0.855271,0.805254,0.760414,0.833926,0.847292,0.919355,0.784332,0.776586,0.741949,0.802755,0.760358,0.788382,0.864955,0.864362,0.963745
0.431667,0.682953,0.712347,0.706365,0.688618,0.849623,0.799155,0.753992,0.828466,0.842145,0.915823,0.778178,0.770861,0.736928,0.799239,0.755807,0.783571,0.860642,0.860207,0.961497
0.441667,0.677558,0.707554,0.701509,0.682795,0.844333,0.793642,0.748244,0.823587,0.837561,0.912473,0.772418,0.765571,0.73269,0.79633,0.751981,0.779588,0.856607,0.856536,0.959253
0.451667,0.673014,0.703589,0.697512,0.677797,0.839375,0.788671,0.743121,0.819245,0.833499,0.909292,0.767022,0.760684,0.729182,0.793989,0.748827,0.776372,0.852832,0.853315,0.957014
0.461667,0.669251,0.700383,0.694303,0.673562,0.834721,0.7842,0.738572,0.815398,0.829917,0.906269,0.761962,0.756165,0.726347,0.792175,0.74629,0.773859,0.849298,0.850508,0.95478
0.471667,0.666205,0.697872,0.691817,0.670029,0.830348,0.780187,0.73455,0.812002,0.826773,0.903391,0.75721,0.751983,0.724129,0.790849,0.744319,0.771991,0.845986,0.848082,0.952549
0.481667,0.663813,0.695996,0.689989,0.667141,0.826233,0.776593,0.731012,0.809018,0.824028,0.900648,0.752739,0.748107,0.722476,0.789972,0.742866,0.77071,0.842877,0.846004,0.950323
0.491667,0.66202,0.6947,0.688761,0.664845,0.822354,0.773383,0.727917,0.806408,0.821648,0.89803,0.748524,0.74451,0.721339,0.789509,0.741885,0.769966,0.839954,0.844242,0.948102
0.501667,0.660774,0.693932,0.688082,0.663094,0.818692,0.770526,0.72523,0.804141,0.819599,0.895529,0.744545,0.741166,0.720671,0.789426,0.741336,0.76971,0.837201,0.842769,0.945884
0.511667,0.66003,0.693648,0.687904,0.661846,0.815233,0.767993,0.722917,0.802186,0.817854,0.893137,0.74078,0.738052,0.720433,0.789694,0.741183,0.769901,0.834605,0.841559,0.943672
0.521667,0.659748,0.693808,0.688186,0.66106,0.811961,0.765759,0.720951,0.800517,0.816385,0.890847,0.737213,0.73515,0.720586,0.790286,0.741393,0.770501,0.832154,0.840591,0.941466
0.531667,0.65989,0.694375,0.688888,0.660704,0.808865,0.763803,0.719306,0.799111,0.81517,0.888655,0.733828,0.732439,0.721098,0.791177,0.741936,0.771475,0.829837,0.839843,0.939267
0.541667,0.660424,0.695317,0.689977,0.660745,0.805936,0.762105,0.717961,0.797948,0.814188,0.886558,0.730612,0.729906,0.721936,0.792347,0.742788,0.772792,0.827644,0.839298,0.937075
0.551667,0.661321,0.696605,0.691424,0.661157,0.803164,0.760649,0.716895,0.797008,0.813422,0.884551,0.727553,0.727535,0.723076,0.793776,0.743926,0.774426,0.825568,0.838939,0.934892
0.561667,0.662555,0.698215,0.693201,0.661914,0.800544,0.759419,0.716091,0.796275,0.812855,0.882634,0.724641,0.725315,0.724492,0.795448,0.745328,0.776351,0.823603,0.838752,0.932719
0.571667,0.664103,0.700122,0.695284,0.662994,0.798069,0.758403,0.715534,0.795736,0.812474,0.880804,0.721868,0.723234,0.726162,0.797349,0.746977,0.778546,0.821742,0.838724,0.930558
0.581667,0.665943,0.702306,0.697651,0.664376,0.795737,0.757589,0.715211,0.795378,0.812264,0.87906,0.719225,0.721283,0.728068,0.799464,0.748856,0.78099,0.819982,0.838844,0.928411
0.591667,0.668105,0.704789,0.700325,0.666092,0.793585,0.75701,0.715155,0.795223,0.812246,0.877428,0.716743,0.719489,0.730227,0.801805,0.75098,0.783702,0.818343,0.83912,0.92629
0.601667,0.670473,0.707472,0.703199,0.668022,0.791528,0.756571,0.715261,0.795194,0.812349,0.875859,0.714346,0.717773,0.732549,0.804316,0.753278,0.786588,0.816776,0.839506,0.924177
0.611667,0.67308,0.710378,0.706301,0.6702,0.789604,0.756305,0.715564,0.795313,0.812592,0.874377,0.71206,0.716162,0.735058,0.80701,0.755766,0.789671,0.815298,0.840009,0.922083
0.621667,0.675909,0.713494,0.709615,0.672612,0.787811,0.756203,0.716055,0.795571,0.812967,0.872982,0.709879,0.714648,0.73774,0.809878,0.758432,0.792936,0.813909,0.840622,0.92001
0.631667,0.678946,0.716804,0.713124,0.675242,0.786147,0.756259,0.716724,0.795962,0.813465,0.871676,0.7078,0.713224,0.740582,0.812912,0.761266,0.796369,0.812604,0.841338,0.91796
0.641667,0.682175,0.720295,0.716814,0.678075,0.784611,0.756465,0.717562,0.796475,0.814078,0.870458,0.705816,0.711885,0.743571,0.816103,0.764257,0.799956,0.811384,0.84215,0.915936
0.651667,0.685585,0.723954,0.72067,0.681098,0.783201,0.756813,0.718559,0.797105,0.814799,0.86933,0.703926,0.710624,0.746698,0.819445,0.767395,0.803683,0.810245,0.84305,0.91394
0.661667,0.68916,0.727768,0.724679,0.684296,0.781916,0.757297,0.719706,0.797843,0.81562,0.868293,0.702123,0.709435,0.74995,0.822931,0.770672,0.807538,0.809186,0.844033,0.911975
0.671667,0.692889,0.731725,0.728828,0.687658,0.780755,0.75791,0.720996,0.798684,0.816537,0.867348,0.700403,0.708312,0.753319,0.826553,0.774078,0.811508,0.808206,0.845092,0.910042
0.681667,0.696758,0.735812,0.733104,0.691169,0.779716,0.758646,0.722419,0.79962,0.81754,0.866495,0.698763,0.70725,0.756793,0.830303,0.777604,0.815581,0.807303,0.846222,0.908145
0.691667,0.700755,0.740018,0.737494,0.694816,0.778799,0.759497,0.723968,0.800644,0.818625,0.865735,0.697198,0.706241,0.760363,0.834176,0.781241,0.819746,0.806476,0.847417,0.906286
0.701667,0.704867,0.744332,0.741984,0.698587,0.778,0.760458,0.725633,0.801751,0.819784,0.865068,0.695703,0.705281,0.764021,0.838163,0.784981,0.82399,0.805721,0.84867,0.904467
0.711667,0.709082,0.748741,0.746564,0.70247,0.77732,0.761521,0.727406,0.802934,0.821012,0.864495,0.694273,0.704363,0.767757,0.842257,0.788815,0.828303,0.805039,0.849978,0.902692
0.721667,0.713388,0.753234,0.751221,0.706451,0.776755,0.76268,0.729278,0.804186,0.822303,0.864016,0.692904,0.703481,0.771562,0.846451,0.792735,0.832673,0.804425,0.851335,0.900962
0.731667,0.717671,0.757708,0.755853,0.71041,0.776194,0.763829,0.731137,0.805427,0.823583,0.863554,0.691526,0.702575,0.775359,0.850656,0.796654,0.837024,0.803814,0.852687,0.899245
0.741667,0.722293,0.762486,0.760775,0.714732,0.776042,0.765331,0.733365,0.806932,0.825099,0.863386,0.690401,0.701862,0.779387,0.855142,0.800838,0.841586,0.803447,0.854208,0.897676
0.751667,0.726704,0.767077,0.765507,0.718833,0.775704,0.766643,0.735385,0.808284,0.826477,0.863111,0.689129,0.701005,0.783283,0.859508,0.804887,0.846004,0.802969,0.855634,0.896065
0.761667,0.731409,0.771929,0.770484,0.72325,0.775762,0.768282,0.737743,0.809881,0.828073,0.863126,0.688084,0.700313,0.787375,0.864121,0.809169,0.850589,0.802725,0.857215,0.894608
0.771667,0.735905,0.776599,0.775276,0.72745,0.77564,0.769734,0.739897,0.811326,0.829532,0.863038,0.686898,0.69948,0.791339,0.868614,0.813318,0.855039,0.802371,0.8587,0.893114
0.781667,0.740648,0.781485,0.780266,0.731916,0.775899,0.771487,0.742353,0.812995,0.831191,0.863233,0.685911,0.698784,0.795461,0.873317,0.817667,0.859612,0.802242,0.860326,0.89178
0.791667,0.745188,0.786193,0.785075,0.73617,0.775984,0.773057,0.74461,0.814514,0.832713,0.86333,0.684788,0.697948,0.79946,0.877895,0.821883,0.864059,0.802004,0.861857,0.890413
0.801667,0.749881,0.791033,0.79,0.740593,0.77636,0.774842,0.747079,0.816191,0.834375,0.863645,0.683799,0.697203,0.803549,0.882605,0.826226,0.868566,0.801933,0.863483,0.889178
0.811667,0.754538,0.795839,0.794882,0.744984,0.776804,0.776645,0.749551,0.817874,0.83604,0.864032,0.68283,0.696426,0.807619,0.887306,0.830558,0.873033,0.801906,0.865112,0.888008
0.821667,0.75917,0.800619,0.799727,0.749353,0.777337,0.778481,0.752041,0.819573,0.837719,0.864504,0.681855,0.69562,0.811664,0.892003,0.834888,0.877458,0.801926,0.86675,0.88691
0.831667,0.763772,0.805369,0.804532,0.753698,0.777962,0.780351,0.754551,0.821292,0.839414,0.865065,0.68089,0.694784,0.815686,0.896689,0.839209,0.88184,0.801997,0.868398,0.885886
0.841667,0.768336,0.810081,0.809288,0.758009,0.778678,0.782253,0.757074,0.823029,0.841123,0.865712,0.679925,0.693913,0.819675,0.901353,0.843514,0.886172,0.80212,0.870055,0.88494
0.851667,0.772857,0.814749,0.813989,0.762282,0.779485,0.784184,0.759609,0.824783,0.842847,0.866448,0.67896,0.693005,0.823628,0.905987,0.847798,0.890451,0.802296,0.871723,0.884074
0.861667,0.777328,0.819368,0.818632,0.76651,0.780385,0.786145,0.762153,0.826556,0.844587,0.867272,0.677991,0.692056,0.827539,0.910583,0.852056,0.894673,0.802526,0.873401,0.883289
0.871667,0.781748,0.823935,0.823213,0.770691,0.781379,0.788138,0.764707,0.82835,0.846345,0.868185,0.677018,0.691066,0.831405,0.915134,0.856283,0.898835,0.802814,0.875093,0.882588
0.881667,0.78614,0.828466,0.827745,0.774854,0.782553,0.790226,0.767328,0.830224,0.848177,0.869254,0.676074,0.690055,0.83523,0.919637,0.860495,0.90294,0.803224,0.876841,0.882013
0.891667,0.790437,0.83291,0.832188,0.778921,0.783733,0.792277,0.769892,0.832065,0.849979,0.870349,0.675086,0.688973,0.838988,0.92406,0.864643,0.906982,0.803634,0.878569,0.881483
0.901667,0.794681,0.8373,0.836568,0.782942,0.785026,0.794374,0.772478,0.833945,0.851818,0.871545,0.674101,0.687855,0.842696,0.928421,0.868755,0.910966,0.804122,0.880325,0.881045
0.911667,0.798873,0.841634,0.840885,0.786917,0.786437,0.796523,0.775089,0.835871,0.853699,0.872846,0.673121,0.686703,0.846354,0.932718,0.87283,0.914891,0.804694,0.882115,0.8807
0.921667,0.803016,0.845916,0.845143,0.79085,0.787975,0.798731,0.777732,0.837851,0.855631,0.874255,0.672151,0.685522,0.849964,0.936947,0.876868,0.918761,0.80536,0.883947,0.880451
0.931667,0.80711,0.850144,0.849342,0.794742,0.789645,0.801006,0.780414,0.839892,0.857621,0.875776,0.671198,0.684316,0.853526,0.941106,0.880867,0.922578,0.806129,0.885825,0.880302
0.941667,0.811161,0.854324,0.853487,0.798601,0.791458,0.803357,0.783142,0.842005,0.85968,0.877414,0.670268,0.683091,0.857043,0.945195,0.884829,0.926346,0.80701,0.88776,0.880253
0.951667,0.815174,0.858458,0.857582,0.802432,0.793423,0.805794,0.785926,0.844201,0.861817,0.879174,0.669369,0.681856,0.860518,0.949214,0.888755,0.93007,0.808018,0.889759,0.880307
0.961667,0.819156,0.862553,0.861634,0.806242,0.795551,0.808328,0.788778,0.846491,0.864045,0.881064,0.668509,0.680618,0.863956,0.953164,0.892649,0.933755,0.809163,0.891832,0.880466
0.971667,0.823115,0.866616,0.865651,0.810043,0.797855,0.810974,0.791709,0.848889,0.866377,0.883089,0.6677,0.679387,0.867362,0.95705,0.896514,0.937407,0.81046,0.893991,0.880733
0.981667,0.827061,0.870653,0.86964,0.813843,0.800346,0.813744,0.794733,0.851409,0.868826,0.885256,0.666954,0.678175,0.870742,0.960873,0.900356,0.941033,0.811925,0.896248,0.881109
0.991667,0.831004,0.874673,0.87361,0.817654,0.803037,0.816653,0.797863,0.854066,0.871406,0.887572,0.666283,0.676995,0.874105,0.96464,0.904179,0.94464,0.813571,0.898613,0.881596
1.001667,0.834955,0.878686,0.877571,0.821489,0.805943,0.819717,0.801115,0.856875,0.874132,0.890046,0.665702,0.67586,0.877457,0.968356,0.90799,0.948236,0.815417,0.9011,0.882197
1.011667,0.838925,0.882702,0.881534,0.82536,0.809078,0.822951,0.804504,0.859852,0.877021,0.892685,0.665229,0.674787,0.880807,0.972027,0.911797,0.95183,0.817477,0.903722,0.882913
1.021667,0.842929,0.886732,0.88551,0.829281,0.812455,0.826372,0.808046,0.863014,0.880088,0.895498,0.66488,0.673791,0.884166,0.975662,0.915606,0.955429,0.819771,0.906492,0.883747
1.031667,0.846981,0.890787,0.889512,0.83327,0.816091,0.829998,0.811758,0.86638,0.883351,0.898493,0.664676,0.672892,0.887543,0.979269,0.919428,0.959045,0.822315,0.909426,0.884701
1.041667,0.851095,0.894882,0.893553,0.837341,0.820001,0.833847,0.81566,0.869968,0.886827,0.901679,0.664639,0.672109,0.89095,0.982857,0.923271,0.962685,0.825128,0.912539,0.885777
1.051667,0.855288,0.899028,0.897646,0.841512,0.8242,0.837937,0.819769,0.873795,0.890535,0.905065,0.66479,0.671465,0.894397,0.986435,0.927146,0.96636,0.828228,0.915847,0.886976
1.061667,0.859574,0.90324,0.901805,0.8458,0.828702,0.842288,0.824105,0.877882,0.894494,0.908659,0.665154,0.670983,0.897896,0.990015,0.931061,0.97008,0.831632,0.919364,0.888301
1.071667,0.86397,0.907531,0.906043,0.850222,0.833523,0.846916,0.828685,0.882247,0.898721,0.91247,0.665758,0.670686,0.901459,0.993605,0.935029,0.973854,0.835357,0.923107,0.889754
1.081667,0.868492,0.911915,0.910376,0.854797,0.838675,0.851841,0.833528,0.886908,0.903234,0.916506,0.666628,0.6706,0.905097,0.997218,0.939059,0.977693,0.83942,0.927092,0.891337
1.091667,0.873157,0.916407,0.914817,0.85954,0.844171,0.857079,0.838651,0.891884,0.908052,0.920774,0.667793,0.670753,0.908822,1.000862,0.943164,0.981607,0.843835,0.931334,0.893052
1.101667,0.877979,0.921019,0.91938,0.864469,0.850022,0.862646,0.844071,0.897189,0.91319,0.925282,0.669282,0.671171,0.912644,1.004548,0.947352,0.985606,0.848615,0.935847,0.894901
1.111667,0.88297,0.925762,0.924074,0.869597,0.856236,0.868554,0.849801,0.902839,0.918661,0.930034,0.671124,0.671881,0.916572,1.008284,0.951633,0.989696,0.853771,0.940644,0.896887
1.121667,0.888145,0.930649,0.928913,0.874939,0.862819,0.874816,0.855854,0.908847,0.924479,0.935035,0.673348,0.672912,0.920617,1.01208,0.956016,0.993887,0.85931,0.945738,0.899011
1.131667,0.893517,0.93569,0.933908,0.880509,0.869777,0.881445,0.862243,0.915227,0.930659,0.94029,0.675988,0.674294,0.924786,1.015943,0.96051,0.998188,0.86524,0.95114,0.901276
1.141667,0.899099,0.940899,0.939071,0.886321,0.877113,0.88845,0.868981,0.92199,0.937212,0.945802,0.679075,0.676059,0.929089,1.019883,0.965127,1.002607,0.871565,0.956864,0.903682
1.151667,0.9049,0.946283,0.944411,0.892385,0.884826,0.895836,0.876073,0.929144,0.944146,0.95157,0.68264,0.678235,0.933532,1.023905,0.969872,1.007151,0.878282,0.962915,0.906232
1.161667,0.91093,0.951851,0.949936,0.898711,0.892912,0.903607,0.883526,0.936693,0.951465,0.957595,0.686712,0.680853,0.938121,1.028016,0.974753,1.011825,0.885389,0.969302,0.908927
1.171667,0.917196,0.957611,0.955655,0.905309,0.901365,0.911767,0.891343,0.944642,0.959176,0.963874,0.691324,0.683942,0.942862,1.032222,0.979777,1.016635,0.892877,0.97603,0.911768
1.181667,0.923709,0.963571,0.961573,0.912185,0.910177,0.920313,0.899527,0.952994,0.967282,0.970405,0.696505,0.687535,0.94776,1.036528,0.984951,1.021588,0.900737,0.983103,0.914754
1.191667,0.930472,0.969737,0.967699,0.919347,0.919336,0.929245,0.908079,0.961749,0.975784,0.977182,0.702287,0.691663,0.952817,1.040938,0.990279,1.026688,0.908954,0.990525,0.917886
1.201667,0.937491,0.976113,0.974036,0.926799,0.928825,0.938555,0.916994,0.970902,0.984678,0.984198,0.708696,0.696355,0.958038,1.045456,0.995768,1.031938,0.91751,0.998295,0.921163
1.211667,0.944769,0.982703,0.980588,0.934543,0.938627,0.948235,0.926267,0.980448,0.993959,0.991445,0.715758,0.70164,0.963423,1.050084,1.001419,1.037341,0.926381,1.00641,0.924583
1.221667,0.952306,0.989508,0.987356,0.942579,0.948719,0.958272,0.935889,0.990377,1.003619,0.99891,0.723498,0.707546,0.968973,1.054823,1.007236,1.042899,0.935542,1.014867,0.928143
1.231667,0.960101,0.996528,0.99434,0.950906,0.959075,0.96865,0.945847,1.000673,1.013645,1.006582,0.731934,0.714098,0.974686,1.059674,1.013219,1.04861,0.944961,1.023656,0.93184
1.241667,0.96815,1.003761,1.001537,0.959517,0.969666,0.979349,0.956126,1.011321,1.024021,1.014444,0.741082,0.721318,0.980559,1.064635,1.019367,1.054474,0.954604,1.032765,0.935669
1.251667,0.976429,1.011188,1.008928,0.968389,0.980449,0.99033,0.966689,1.022284,1.034714,1.022473,0.750929,0.729202,0.986579,1.069697,1.025667,1.060477,0.964424,1.04217,0.939624
